Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,taxonomic_lineage
P08088,reviewed,BNZE_PSEPU,"Cis-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.19) (Cis-benzene glycol dehydrogenase)",bnzE,Pseudomonas putida (Arthrobacter siderocapsulatus),275,Bacteria
P23102,reviewed,XYLL_PSEPU,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase (EC 1.3.1.25) (2-hydro-1,2-dihydroxybenzoate dehydrogenase) (DHB dehydrogenase) (Cis-1,2-dihydroxy-3,4-cyclohexadiene-1-carboxylate dehydrogenase) (Cis-1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase)",xylL,Pseudomonas putida (Arthrobacter siderocapsulatus),269,Bacteria
P72220,reviewed,BPHB_PSEPU,"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase (EC 1.3.1.56) (2,3-dihydro-2,3-dihydroxybiphenyl dehydrogenase) (2,3-dihydroxy-4-phenylhexa-4,6-diene dehydrogenase) (Biphenyl-2,3-dihydro-2,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase)",bphB,Pseudomonas putida (Arthrobacter siderocapsulatus),277,Bacteria
P13859,reviewed,TODD_PSEP1,Cis-toluene dihydrodiol dehydrogenase (EC 1.3.1.-),todD Pput_2877,Pseudomonas putida (strain ATCC 700007 / DSM 6899 / BCRC 17059 / F1),275,Bacteria
P50206,reviewed,BPHB_PSES1,"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase (EC 1.3.1.56) (2,3-dihydro-2,3-dihydroxybiphenyl dehydrogenase) (2,3-dihydroxy-4-phenylhexa-4,6-diene dehydrogenase) (Biphenyl-2,3-dihydro-2,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase)",bphB,Pseudomonas sp. (strain KKS102),276,Bacteria
Q9L9F7,reviewed,NOVK_STRNV,Short-chain dehydrogenase/reductase family member NovK (Novobiocin biosynthesis protein K),novK,Streptomyces niveus (Streptomyces spheroides),244,Bacteria
E3VWI6,reviewed,PNTF_STRAE,1-deoxy-11-beta-hydroxypentalenate dehydrogenase (EC 1.1.1.340) (Pentalenolactone biosynthesis protein F),pntF,Streptomyces arenae,282,Bacteria
E3VWK2,reviewed,PENF_STREX,1-deoxy-11-beta-hydroxypentalenate dehydrogenase (EC 1.1.1.340) (Pentalenolactone biosynthesis protein F),penF,Streptomyces exfoliatus (Streptomyces hydrogenans),275,Bacteria
P35320,reviewed,OXIR_STRLI,Probable oxidoreductase (EC 1.-.-.-),,Streptomyces lividans,297,Bacteria
P41177,reviewed,DHKR_STRVG,Monensin polyketide synthase putative ketoacyl reductase (EC 1.3.1.-) (ORF5),,Streptomyces virginiae (Streptomyces cinnamonensis),261,Bacteria
Q03326,reviewed,OXIR_STRAT,Probable oxidoreductase (EC 1.-.-.-),,Streptomyces antibioticus,298,Bacteria
Q9ZAU1,reviewed,DNRU_STRPE,Putative daunorubicin C-13 ketoreductase DnrU (EC 1.1.1.-),dnrU,Streptomyces peucetius,287,Bacteria
P43168,reviewed,YMP3_STRCH,Uncharacterized oxidoreductase in mprA 5'region (EC 1.-.-.-) (ORF3),,Streptomyces coelicolor,251,Bacteria
P16544,reviewed,ACT3_STRCO,Putative ketoacyl reductase (EC 1.3.1.-),actIII SCO5086 SCBAC28G1.12c,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),261,Bacteria
Q82IY9,reviewed,PTLF_STRAW,1-deoxy-11-beta-hydroxypentalenate dehydrogenase (EC 1.1.1.340) (Neopentalenolactone biosynthesis protein F),ptlF SAV_2993,Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680),270,Bacteria
P16542,reviewed,DHK1_STRVN,Granaticin polyketide synthase putative ketoacyl reductase 1 (EC 1.3.1.-) (ORF5),gra-orf5,Streptomyces violaceoruber,272,Bacteria
Q53877,reviewed,DNRU_STRS5,Putative daunorubicin C-13 ketoreductase DnrU (EC 1.1.1.-),,Streptomyces sp. (strain C5),287,Bacteria
Q93UV4,reviewed,FLNB_TERSD,"Fluoren-9-ol dehydrogenase (EC 1.1.1.256) (1,1a-dihydroxy-1-hydro-9-fluorenone dehydrogenase) (DHF dehydrogenase)",flnB ORF4,Terrabacter sp. (strain DBF63),357,Bacteria
O53547,reviewed,CHSB1_MYCTU,Hydroxyacyl-CoA dehydrogenase ChsB1 (EC 1.1.1.-),chsB1 Rv3502c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),317,Bacteria
P9WGS9,reviewed,DPRE2_MYCTU,Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase (EC 1.1.1.333) (Decaprenyl-phospho-2'-keto-D-arabinose reductase) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE2) (Decaprenyl-phosphoribose 2'-epimerase subunit 2) (NAD-dependent decaprenylphosphoryl-D-2-keto-erythropentose reductase),dprE2 Rv3791 MTCY13D12.25,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),254,Bacteria
P66784,reviewed,DPRE2_MYCBO,Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase (EC 1.1.1.333) (Decaprenyl-phospho-2'-keto-D-arabinose reductase) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE2) (Decaprenyl-phosphoribose 2'-epimerase subunit 2) (NAD-dependent decaprenylphosphoryl-D-2-keto-erythropentose reductase),dprE2 BQ2027_MB3820,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),254,Bacteria
P96825,reviewed,Y0148_MYCTU,Putative short-chain type dehydrogenase/reductase Rv0148 (EC 1.1.1.-),Rv0148,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),286,Bacteria
P9WGP9,reviewed,SADH_MYCTU,Putative oxidoreductase SadH (EC 1.-.-.-),sadH Rv3085,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),276,Bacteria
P9WGS8,reviewed,DPRE2_MYCTO,Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase (EC 1.1.1.333) (Decaprenyl-phospho-2'-keto-D-arabinose reductase) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE2) (Decaprenyl-phosphoribose 2'-epimerase subunit 2) (NAD-dependent decaprenylphosphoryl-D-2-keto-erythropentose reductase),dprE2 MT3899,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),254,Bacteria
P66778,reviewed,EPHD_MYCBO,Probable oxidoreductase EphD (EC 1.-.-.-),ephD BQ2027_MB2237C,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),592,Bacteria
P66780,reviewed,Y1570_MYCBO,Uncharacterized oxidoreductase Mb1570 (EC 1.-.-.-),BQ2027_MB1570,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),341,Bacteria
P9WGP8,reviewed,SADH_MYCTO,Putative oxidoreductase SadH (EC 1.-.-.-),sadH MT3170,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),276,Bacteria
P9WGQ6,reviewed,Y1144_MYCTO,Uncharacterized oxidoreductase MT1177 (EC 1.-.-.-),MT1177,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),250,Bacteria
P9WGQ7,reviewed,Y1144_MYCTU,Uncharacterized oxidoreductase Rv1144 (EC 1.-.-.-),Rv1144,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),250,Bacteria
P9WGR2,reviewed,Y2073_MYCTO,Uncharacterized oxidoreductase MT2133 (EC 1.-.-.-),MT2133,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),249,Bacteria
P9WGR3,reviewed,Y2073_MYCTU,Uncharacterized oxidoreductase Rv2073c (EC 1.-.-.-),Rv2073c MTCY49.12c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),249,Bacteria
P9WGR4,reviewed,Y484_MYCTO,Uncharacterized oxidoreductase MT0502 (EC 1.-.-.-),MT0502,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),251,Bacteria
P9WGR5,reviewed,Y484_MYCTU,Uncharacterized oxidoreductase Rv0484c (EC 1.-.-.-),Rv0484c MTCY20G9.10c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),251,Bacteria
P9WGR6,reviewed,Y945_MYCTO,Uncharacterized oxidoreductase MT0971 (EC 1.-.-.-),MT0971,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),253,Bacteria
P9WGR7,reviewed,Y945_MYCTU,Uncharacterized oxidoreductase Rv0945 (EC 1.-.-.-),Rv0945 MTCY10D7.29c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),253,Bacteria
P9WGS0,reviewed,Y1543_MYCTO,Uncharacterized oxidoreductase MT1595 (EC 1.-.-.-),MT1595,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),341,Bacteria
P9WGS1,reviewed,Y1543_MYCTU,Uncharacterized oxidoreductase Rv1543 (EC 1.-.-.-),Rv1543 MTCY48.22c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),341,Bacteria
P9WGS2,reviewed,EPHD_MYCTO,Probable oxidoreductase EphD (EC 1.-.-.-),ephD MT2270,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),592,Bacteria
P9WGS3,reviewed,EPHD_MYCTU,Probable oxidoreductase EphD (EC 1.-.-.-),ephD Rv2214c MTCY190.25c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),592,Bacteria
A0R610,reviewed,DPRE2_MYCS2,Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase (EC 1.1.1.333) (Decaprenyl-phospho-2'-keto-D-arabinose reductase) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE2) (Decaprenyl-phosphoribose 2'-epimerase subunit 2) (NAD-dependent decaprenylphosphoryl-D-2'-keto erythropentose reductase),dprE2 MSMEG_6385 MSMEI_6217 LJ00_31560,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis),254,Bacteria
P47230,reviewed,BPHB_RHOGO,"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase (EC 1.3.1.56) (2,3-dihydro-2,3-dihydroxybiphenyl dehydrogenase) (2,3-dihydroxy-4-phenylhexa-4,6-diene dehydrogenase) (Biphenyl-2,3-dihydro-2,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase)",bphB,Rhodococcus globerulus,280,Bacteria
Q9RA05,reviewed,LIMC_RHOER,"(-)-trans-carveol dehydrogenase (EC 1.1.1.n4) ((4R,6S)-carveol dehydrogenase) (CDH) (Carveol dehydrogenase)",limC,Rhodococcus erythropolis (Arthrobacter picolinophilus),277,Bacteria
Q9RBP5,reviewed,ISOH_RHOSX,1-hydroxy-2-glutathionyl-2-methyl-3-butene dehydrogenase (EC 1.1.1.398),isoH SZ00_06094,Rhodococcus sp. (strain AD45),226,Bacteria
A4ECA9,reviewed,HSDHB_COLAA,7beta-hydroxysteroid dehydrogenase (7beta-HSDH) (EC 1.1.1.201) (NADP-dependent 7beta-hydroxysteroid dehydrogenase),COLAER_02088,Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003),263,Bacteria
C8WMP0,reviewed,3AHD_EGGLE,3alpha-hydroxysteroid dehydrogenase (3alpha-HSDH) (EC 1.1.1.-) (3alpha-hydroxycholanate dehydrogenase (NAD(+))) (EC 1.1.1.52) (NAD-dependent bile acid 3alpha-dehydrogenase),Elen_0690,Eggerthella lenta (strain ATCC 25559 / DSM 2243 / CCUG 17323 / JCM 9979 / KCTC 3265 / NCTC 11813 / VPI 0255 / 1899 B) (Eubacterium lentum),259,Bacteria
Q8RJB2,reviewed,BZRD_BACCE,Benzil reductase ((S)-benzoin forming) (EC 1.1.1.320),yueD,Bacillus cereus,249,Bacteria
P39071,reviewed,DHBA_BACSU,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) (Cold shock protein CSI14)",dhbA entA BSU32000,Bacillus subtilis (strain 168),261,Bacteria
O32099,reviewed,BZRD_BACSU,Benzil reductase ((S)-benzoin forming) (EC 1.1.1.320),yueD BSU31840,Bacillus subtilis (strain 168),243,Bacteria
O32229,reviewed,YVAG_BACSU,Uncharacterized oxidoreductase YvaG (EC 1.-.-.-),yvaG BSU33590,Bacillus subtilis (strain 168),264,Bacteria
O32291,reviewed,YXNA_BACSU,Uncharacterized oxidoreductase YxnA (EC 1.-.-.-),yxnA BSU40000,Bacillus subtilis (strain 168),356,Bacteria
O34782,reviewed,YVRD_BACSU,Uncharacterized oxidoreductase YvrD (EC 1.-.-.-),yvrD BSU33190,Bacillus subtilis (strain 168),263,Bacteria
O34896,reviewed,UXUB_BACSU,Uncharacterized oxidoreductase UxuB (EC 1.-.-.-),uxuB yjmF BSU12350,Bacillus subtilis (strain 168),278,Bacteria
P14802,reviewed,YOXD_BACSU,Uncharacterized oxidoreductase YoxD (EC 1.-.-.-),yoxD BSU18500,Bacillus subtilis (strain 168),238,Bacteria
P37959,reviewed,YUSZ_BACSU,Uncharacterized oxidoreductase YusZ (EC 1.-.-.-) (ORFA),yusZ yvxA BSU32980,Bacillus subtilis (strain 168),280,Bacteria
P39577,reviewed,DLTE_BACSU,Uncharacterized oxidoreductase DltE (EC 1.-.-.-),dltE BSU38540 ipa-1r,Bacillus subtilis (strain 168),252,Bacteria
P40747,reviewed,YUXG_BACSU,Uncharacterized oxidoreductase YuxG (EC 1.-.-.-) (ORF2),yuxG yulA BSU31220,Bacillus subtilis (strain 168),689,Bacteria
P42317,reviewed,YXJF_BACSU,Uncharacterized oxidoreductase YxjF (EC 1.-.-.-),yxjF BSU38970 N15M,Bacillus subtilis (strain 168),257,Bacteria
P54554,reviewed,YQJQ_BACSU,Uncharacterized oxidoreductase YqjQ (EC 1.-.-.-),yqjQ BSU23780,Bacillus subtilis (strain 168),259,Bacteria
O32185,reviewed,YUSS_BACSU,Short-chain dehydrogenase/reductase homolog YusS,yusS BSU32910,Bacillus subtilis (strain 168),109,Bacteria
Q92EK7,reviewed,Y452_LISIN,Uncharacterized oxidoreductase Lin0452 (EC 1.-.-.-),lin0452,Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262),248,Bacteria
P25145,reviewed,Y432_LISMO,Uncharacterized oxidoreductase Lmo0432 (EC 1.-.-.-) (ORFA),lmo0432,Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e),248,Bacteria
P66775,reviewed,BUTA_STAAM,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",butA SAV0126,Staphylococcus aureus (strain Mu50 / ATCC 700699),258,Bacteria
P66776,reviewed,BUTA_STAAW,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",butA MW0100,Staphylococcus aureus (strain MW2),258,Bacteria
P99120,reviewed,BUTA_STAAN,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",butA SA0122,Staphylococcus aureus (strain N315),258,Bacteria
Q2FE21,reviewed,Y2422_STAA3,Uncharacterized oxidoreductase SAUSA300_2422 (EC 1.-.-.-),SAUSA300_2422,Staphylococcus aureus (strain USA300),231,Bacteria
Q2FVD5,reviewed,Y2778_STAA8,Uncharacterized oxidoreductase SAOUHSC_02778 (EC 1.-.-.-),SAOUHSC_02778,Staphylococcus aureus (strain NCTC 8325 / PS 47),231,Bacteria
Q5HD73,reviewed,Y2488_STAAC,Uncharacterized oxidoreductase SACOL2488 (EC 1.-.-.-),SACOL2488,Staphylococcus aureus (strain COL),231,Bacteria
Q5HJP2,reviewed,BUTA_STAAC,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",butA SACOL0111,Staphylococcus aureus (strain COL),258,Bacteria
Q6G6J1,reviewed,Y2370_STAAS,Uncharacterized oxidoreductase SAS2370 (EC 1.-.-.-),SAS2370,Staphylococcus aureus (strain MSSA476),231,Bacteria
Q6GCZ8,reviewed,BUTA_STAAS,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",butA SAS0101,Staphylococcus aureus (strain MSSA476),258,Bacteria
Q6GDV6,reviewed,Y2567_STAAR,Uncharacterized oxidoreductase SAR2567 (EC 1.-.-.-),SAR2567,Staphylococcus aureus (strain MRSA252),231,Bacteria
Q6GKH9,reviewed,BUTA_STAAR,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",butA SAR0129,Staphylococcus aureus (strain MRSA252),258,Bacteria
Q7A3L9,reviewed,Y2266_STAAN,Uncharacterized oxidoreductase SA2266 (EC 1.-.-.-),SA2266,Staphylococcus aureus (strain N315),231,Bacteria
Q8NUV9,reviewed,Y2403_STAAW,Uncharacterized oxidoreductase MW2403 (EC 1.-.-.-),MW2403,Staphylococcus aureus (strain MW2),231,Bacteria
Q99RF5,reviewed,Y2478_STAAM,Uncharacterized oxidoreductase SAV2478 (EC 1.-.-.-),SAV2478,Staphylococcus aureus (strain Mu50 / ATCC 700699),231,Bacteria
Q5HKG6,reviewed,BUTA_STAEQ,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",butA SERP2379,Staphylococcus epidermidis (strain ATCC 35984 / RP62A),257,Bacteria
Q5HLD8,reviewed,Y2049_STAEQ,Uncharacterized oxidoreductase SERP2049 (EC 1.-.-.-),SERP2049,Staphylococcus epidermidis (strain ATCC 35984 / RP62A),230,Bacteria
Q8CN40,reviewed,Y2036_STAES,Uncharacterized oxidoreductase SE_2036 (EC 1.-.-.-),SE_2036,Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200),230,Bacteria
Q8CQD2,reviewed,BUTA_STAES,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",butA SE_0197,Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200),257,Bacteria
Q4L8Y1,reviewed,Y0585_STAHJ,Uncharacterized oxidoreductase SH0585 (EC 1.-.-.-),SH0585,Staphylococcus haemolyticus (strain JCSC1435),231,Bacteria
Q49WS9,reviewed,Y1627_STAS1,Uncharacterized oxidoreductase SSP1627 (EC 1.-.-.-),SSP1627,Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41),246,Bacteria
Q4A054,reviewed,Y0419_STAS1,Uncharacterized oxidoreductase SSP0419 (EC 1.-.-.-),SSP0419,Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41),234,Bacteria
P0DX40,reviewed,CLADH_LACPN,CLA biosynthesis dehydrogenase/reductase (CLA-DH) (EC 1.1.1.-),cla-dh,Lactiplantibacillus plantarum (Lactobacillus plantarum),286,Bacteria
G9FRD6,reviewed,HSDHB_CLOSR,7beta-hydroxysteroid dehydrogenase (7beta-HSDH) (EC 1.1.1.201) (NADP-dependent 7beta-hydroxysteroid dehydrogenase),hdhb,Clostridium sardiniense (Clostridium absonum),261,Bacteria
P07914,reviewed,BAIA1_CLOSV,3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 1/3 (EC 1.1.1.395) (3alpha-hydroxysteroid dehydrogenase 1/3) (3alpha-HSDH 1/3) (Bile acid-inducible protein BaiA1) (Bile acid-inducible protein BaiA3),baiA1; baiA3,Clostridium scindens (strain JCM 10418 / VPI 12708),249,Bacteria
P19337,reviewed,BAIA2_CLOSV,3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 2 (EC 1.1.1.395) (3alpha-hydroxysteroid dehydrogenase 2) (3alpha-HSDH 2) (Bile acid-inducible protein BaiA2),baiA2,Clostridium scindens (strain JCM 10418 / VPI 12708),249,Bacteria
R9UAM1,reviewed,HSDHB_MEDGN,7beta-hydroxysteroid dehydrogenase (7beta-HSDH) (EC 1.1.1.201) (NADP-dependent 7beta-hydroxysteroid dehydrogenase),,Mediterraneibacter gnavus (Ruminococcus gnavus),263,Bacteria
A7AZH2,reviewed,3BHDP_MEDG7,3beta-hydroxysteroid dehydrogenase (3beta-HSDH) (EC 1.1.1.-) (3beta-hydroxycholanate 3-dehydrogenase (NADP(+))) (EC 1.1.1.393) (NADP-dependent bile acid 3beta-dehydrogenase),RUMGNA_00694,Mediterraneibacter gnavus (strain ATCC 29149 / DSM 114966 / JCM 6515 / VPI C7-9) (Ruminococcus gnavus),276,Bacteria
A7B4V1,reviewed,HSDHB_MEDG7,7beta-hydroxysteroid dehydrogenase (7beta-HSDH) (EC 1.1.1.201) (NADP-dependent 7beta-hydroxysteroid dehydrogenase),RUMGNA_02585,Mediterraneibacter gnavus (strain ATCC 29149 / DSM 114966 / JCM 6515 / VPI C7-9) (Ruminococcus gnavus),263,Bacteria
O66148,reviewed,POR_LEPBY,Light-dependent protochlorophyllide reductase (PCR) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase) (LPOR) (POR),por,Leptolyngbya boryana (Plectonema boryanum),322,Bacteria
P37694,reviewed,HETN_NOSS1,Ketoacyl reductase HetN (EC 1.3.1.-),hetN alr5358,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),287,Bacteria
P73574,reviewed,FABG_SYNY3,3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase),fabG slr0886,Synechocystis sp. (strain PCC 6803 / Kazusa),247,Bacteria
P74167,reviewed,MGDE_SYNY3,Monoglucosyldiacylglycerol epimerase (GlcDG epimerase) (EC 5.1.3.34),MgdE sll1376,Synechocystis sp. (strain PCC 6803 / Kazusa),410,Bacteria
Q59987,reviewed,POR_SYNY3,Light-dependent protochlorophyllide reductase (PCR) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase) (LPOR) (POR),por pcr slr0506,Synechocystis sp. (strain PCC 6803 / Kazusa),322,Bacteria
Q54GP3,reviewed,SPRE_DICDI,Sepiapterin reductase (SPR) (SR) (EC 1.1.1.153),sprA DDB_G0290009,Dictyostelium discoideum (Social amoeba),267,Eukaryota
Q86A17,reviewed,DHPR_DICDI,Dihydropteridine reductase (EC 1.5.1.34) (Quinoid dihydropteridine reductase),qdpr DDB_G0272684,Dictyostelium discoideum (Social amoeba),231,Eukaryota
Q9NKW1,reviewed,MFEA_DICDI,Peroxisomal multifunctional enzyme A (MFE-A) (MFE-1) [Includes: 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)],mfeA mfe1 DDB_G0291247,Dictyostelium discoideum (Social amoeba),441,Eukaryota
Q556J2,reviewed,KDSR_DICDI,3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase),ksrA-1 DDB_G0272883; ksrA-2 DDB_G0274015,Dictyostelium discoideum (Social amoeba),334,Eukaryota
Q8T197,reviewed,DHRS7_DICDI,Dehydrogenase/reductase SDR family protein 7-like (EC 1.1.-.-),DDB_G0274201,Dictyostelium discoideum (Social amoeba),316,Eukaryota
M2YJJ3,reviewed,HEXA_DOTSN,Fatty acid synthase alpha subunit hexA (EC 2.3.1.86) [Includes: 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41) (Dothistromin biosynthesis protein hexA)],hexA DOTSEDRAFT_66976,Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini),1692,Eukaryota
N4WE43,reviewed,RED2_COCH4,Dehydrogenase RED2 (EC 1.1.1.1) (T-toxin biosynthesis protein RED2),RED2 COCC4DRAFT_155544,Cochliobolus heterostrophus (strain C4 / ATCC 48331 / race T) (Southern corn leaf blight fungus) (Bipolaris maydis),265,Eukaryota
A0A0C6DRT7,reviewed,BET4_NEOBT,Short-chain dehydrogenase/reductase bet4 (EC 1.1.1.-) (Betaenone biosynthesis cluster protein 4),bet4,Neocamarosporium betae (Beet black rot fungus) (Pleospora betae),346,Eukaryota
A0A345BJN5,reviewed,CLZ5_COCLU,NADP-dependent dehydrogenase clz5 (EC 1.1.1.-) (Squalestatin S1 biosynthesis cluster protein clz5) (Zaragozic acid A biosynthesis cluster protein 5),clz5,Cochliobolus lunatus (Filamentous fungus) (Curvularia lunata),286,Eukaryota
A0A3G1DJE9,reviewed,MFM3_PHOSM,NADP-dependent dehydrogenase M3 (EC 1.1.1.-) (Squalestatin S1 biosynthesis cluster protein M3),M3,Phoma sp. (strain ATCC 20986 / MF5453),339,Eukaryota
A0A4P8GEE8,reviewed,EUPG_PHOSX,Short-chain dehydrogenase/reductase eupG (EC 1.1.1.-) (Eupenifeldin biosynthesis cluster protein G),eupG gme12629,Phoma sp,278,Eukaryota
B2WMJ3,reviewed,MKAR_PYRTR,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase),PTRG_11203,Pyrenophora tritici-repentis (strain Pt-1C-BFP) (Wheat tan spot fungus) (Drechslera tritici-repentis),341,Eukaryota
E0D7H5,reviewed,BSC3_ALTBR,Short-chain dehydrogenase/reductase bsc3 (EC 1.-.-.-) (Brassicicene C biosynthetic gene cluster protein 3),bsc3 bc-sdr orf3,Alternaria brassicicola (Dark leaf spot agent),274,Eukaryota
M2Y1A3,reviewed,NOR1_DOTSN,Norsolorinic acid ketoreductase nor1 (EC 1.1.1.349) (Dothistromin biosynthesis ketoreductase nor1) (Short chain dehydrogenase nor1),Nor1 DOTSEDRAFT_75691,Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini),268,Eukaryota
M2YJK1,reviewed,ADHA_DOTSN,5'-hydroxyaverantin dehydrogenase (HAVN dehydrogenase) (EC 1.1.1.352) (Dothistromin biosynthesis protein adhA),adhA DOTSEDRAFT_48495,Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini),306,Eukaryota
M2ZIX7,reviewed,PK81I_PSEFD,Short chain dehydrogenase MYCFIDRAFT_6125 (EC 1.1.1.-) (PKS8-1 gene cluster protein MYCFIDRAFT_6125),MYCFIDRAFT_6125,Pseudocercospora fijiensis (strain CIRAD86) (Black leaf streak disease fungus) (Mycosphaerella fijiensis),309,Eukaryota
N4WW42,reviewed,RED3_COCH4,Dehydrogenase RED3 (EC 1.1.1.1) (T-toxin biosynthesis protein RED3),RED3 COCC4DRAFT_155403,Cochliobolus heterostrophus (strain C4 / ATCC 48331 / race T) (Southern corn leaf blight fungus) (Bipolaris maydis),196,Eukaryota
